"2017-11-01", "2017-11-17", "2017-12-03", "2017-12-19", "2018-01-01", "2018-01-17", "2018-02-02", "2018-02-18", "2018-03-06", "2018-03-22"
8013,8463,9981,8676,9170,8697,2778,1604,2758,4692
1523,1231,1352,1819,6607,7762,8757,9908,5735,1988
1608,5409,7703,9813,7282,9005,6606,1549,2128,2866
8058,6425,6915,4068,3367,2112,3096,2533,1642,2885
7516,7230,4876,3783,2003,1689,2513,2070,3178,3997
2523,6548,8868,6616,9693,8942,2168,2755,5785,2152
4549,5903,4409,3196,3196,2093,1568,3069,3155,5175
1798,7582,8013,8881,7189,9896,2374,2295,3396,6740
7090,6685,8884,9687,6096,3753,2048,2432,5207,7369
1411,3229,6683,2513,4081,6436,7611,8136,8541,8658
2317,4361,7799,9775,7221,7099,2459,2098,2081,4162
1567,1519,4157,4592,8280,9060,9444,6917,6514,1465
1330,1647,2589,6467,6467,8501,8343,6115,2184,1988
3808,2926,1961,1947,1296,1085,1633,3365,5308,7708
3286,5448,6775,8170,9974,8846,5602,1608,2193,3259
6179,4708,1281,2166,1304,1264,2771,4896,4200,7718
1618,1986,4993,2878,2152,2512,7872,8354,8807,7533
1711,3879,9515,8505,6358,6537,2561,1469,2807,1489
4457,6888,5419,5893,4534,3424,2054,1215,1843,1833
1497,1840,3093,2414,3708,5002,6889,6619,4643,2520
2081,1754,1501,8442,9024,9454,9856,4150,1555,2061
1433,1230,2359,6254,9534,9122,7974,7138,2143,2250
2569,5568,7456,8982,7475,8798,2373,1937,1963,3215
1759,6176,7585,8371,8137,9067,4756,2319,1863,3524
2453,8292,7632,8115,7867,6861,8761,7406,5412,5658
1952,3111,3327,4598,1947,1696,6667,9214,9564,8073
8557,7641,3349,1604,2614,2251,7237,6477,9867,8078
1386,2077,1408,1638,2800,2879,7630,9349,8304,5758
3152,4960,6664,3046,4127,4638,3030,6700,4765,4372
2783,2357,1523,3301,7438,8410,9586,8006,7542,1170
2510,2895,2940,2639,1928,1645,2975,5145,7039,8800
7116,6883,6490,7030,3430,1978,1711,1267,2573,4403
1831,1917,8011,7528,8475,9494,9307,7047,1975,1261
8610,7320,6968,6299,2814,1514,1894,2749,4639,7050
7991,7116,7133,6874,3499,1559,2155,2937,5238,6312
3588,5956,8293,8037,6951,1889,2107,4759,6532,6004
4193,2476,9798,9481,8639,9533,8272,2303,2030,2177
8049,6969,5413,4581,3086,1497,2362,2682,1512,7960
5383,5660,5795,6892,5734,6303,7777,8278,6189,7294
4060,3138,9268,9404,7814,9668,6726,2075,1708,1578
2014,5760,6158,8750,8875,8495,4428,1454,1117,2065
2980,3221,9044,8091,7904,8459,9710,3068,1895,2148
1452,2384,5035,7678,6628,6553,6211,4665,5105,3794
6102,7558,8959,8715,8200,3411,1695,2072,4167,4964
1677,1548,3222,6232,9179,9088,8236,7787,7068,2191
1018,1418,2274,3511,5230,9195,9972,8428,3870,4101
1347,5157,5623,9464,7210,8939,3117,2241,3458,6456
5015,5401,6673,3250,5107,6716,8486,8684,8261,4966
1923,2214,9693,6704,9812,7059,3578,2879,3270,3855
6129,7387,8163,9737,7033,8148,2144,2107,2423,4390
1519,1673,2690,2501,3279,5825,7653,6117,5673,2647
7556,6067,6313,4619,2251,1588,3634,5407,2208,2498
4595,5700,8879,9845,8129,9022,3181,1457,1932,3081
2342,7160,9667,7996,9414,8908,2408,1754,2151,4054
1848,2785,7620,9531,7924,9022,5129,2333,2070,4565
3399,3745,1598,3396,3396,8149,9629,5788,8508,2097
1088,1817,2486,9343,1549,1208,5062,7808,8665,8505
2216,2571,8788,7367,9409,9234,5134,2376,2002,4635
7616,8724,9445,9162,6751,4550,2243,3388,5417,2776
6021,6485,7752,9688,8061,4868,1559,2786,3030,1670
1657,2290,4640,4637,4340,4576,6536,6603,6081,5985
1494,5284,7017,9977,9008,9166,6665,1900,2336,3183
3943,4620,6472,8130,6725,6230,1652,1694,1990,4067
3497,1103,2261,3216,7561,9209,8452,8455,4159,3094
9349,7254,8123,6084,6078,7726,8076,8689,7946,8827
2926,8048,8254,8539,6744,6014,9097,8373,6414,5493
8008,6374,9833,8953,2929,1973,3064,5319,7904,8272
4391,4103,2458,6260,5980,5346,8011,8624,7213,8260
1417,3879,6844,3950,2405,1794,3412,4349,3580,6604
2372,3363,6140,9384,9384,9170,7548,1994,1659,2482
4909,4776,2005,1646,2424,3191,9850,8590,4274,2734
6212,2975,3103,2221,4266,5571,8429,9938,6345,4063
1493,1909,7560,8588,8290,6895,6457,6486,3669,2542
1420,1080,2413,4064,8320,8439,9137,5621,1966,1997
2469,4877,7707,9523,8730,7720,3207,1912,1596,4144
1712,2627,3036,5863,9446,8974,7963,5268,3718,1855
3424,3151,2427,2143,2143,1637,3897,8365,8038,5753
9524,8258,7435,2063,2063,1797,8380,9667,6992,8945
2308,7882,7869,8946,7115,8373,2066,2506,3209,5902
3981,3186,2509,2166,4872,6676,8944,9446,7745,3343
7653,6871,6471,7181,3407,1530,1955,2987,4279,5782
5271,7127,9271,8671,7362,8477,3869,1588,3261,1524
1720,6213,5424,6370,7377,8318,1792,1919,3534,7423
7102,7737,7330,5975,5975,5866,7923,6196,2653,5733
4818,1715,1222,3508,4417,7512,9215,8301,5306,4356
3075,5115,9852,9604,8439,9019,5191,1759,2304,4087
1892,1667,3717,3742,6297,7288,8753,4669,2074,1456
3880,4909,5466,5778,5130,6367,7868,8518,6514,8491
7532,6832,6351,7304,3614,2347,1732,1654,1826,4309
2499,6374,4287,5621,4271,3714,2357,1448,1322,2155
3494,4125,5478,8500,6657,7123,1638,2012,2230,4242
2260,6353,8845,9802,9591,9037,2081,1693,1345,3176
2016,3867,6307,9282,9761,9179,6613,1769,1637,1501
1727,1533,4422,5000,9838,9311,9491,8349,1739,1358
1435,1536,2386,7051,9536,9492,8952,8630,2243,2041
8112,7648,6583,7415,3127,2205,1852,2374,2781,4430
9486,6891,2313,1991,1118,1163,3771,6152,7236,6861
4314,6192,9734,6011,8215,7951,2913,2660,2133,4228
4288,4592,5337,9334,6745,6619,1672,1942,2887,5332
7599,6593,6162,4237,3658,1927,1895,1696,2782,4283
4946,7412,9071,9329,9148,8233,1310,2366,3934,5998
1781,4843,7408,9936,7510,8867,4012,2498,1577,2517
3701,4366,1997,2424,2467,2436,8795,8917,9452,6809
4706,5197,5716,5926,5311,6313,8157,7869,4461,6919
2028,5390,7751,9659,7761,7956,2807,1805,4753,6748
2321,1309,2395,3573,8938,9138,9930,8129,5730,1378
5094,6335,4042,4885,2242,2123,1428,1455,2626,3771
8463,7304,6844,6698,2681,2026,1890,3081,3927,6039
1831,2117,8997,6267,8547,9367,9584,5774,1668,1564
3802,4406,5019,6633,4792,6961,7651,5022,4092,7434
4750,7566,7915,8875,6481,5416,7473,6584,4621,5480
7503,7093,6995,7549,5579,1955,1822,2370,2156,4153
1769,1546,4387,4030,9105,8766,9654,7030,3750,705
2142,2542,5442,9613,8334,9040,7807,3097,1516,2089
1692,3341,3561,5313,3852,1742,2454,4875,2611,5129
4245,4843,9125,8031,8031,6522,1925,2987,4266,1577
1827,2107,3469,6730,8235,9253,9225,5780,4646,2647
1544,1473,2806,8515,8700,9595,9425,7170,4048,1745
8607,6227,7509,8854,5692,7138,9268,8786,5889,5684
1220,1730,2882,4590,8013,9279,9837,6795,3368,2426
4686,7107,7822,7254,8534,9077,2814,2408,3525,5040
7056,6635,5873,5877,6598,6789,7950,6010,5954,4518
1776,4939,9829,7450,5758,8566,2915,2697,3956,2894
3818,5264,6022,7296,7419,7444,8405,3342,5467,6185
8045,6811,6092,6649,3062,1550,1751,2080,2839,4634
2745,3250,2857,2488,1980,1766,3551,4051,7048,7308
1695,2446,3640,8341,9291,9253,6155,2285,1886,2595
1643,2048,2887,6385,9038,9480,8248,7726,6765,1348
2783,2671,2813,2381,2090,1792,3500,4158,6526,8579
2362,2724,3402,2781,1091,1913,3258,4564,7046,4698
3179,4617,6946,9900,7938,9054,3466,2004,2218,3975
2658,6238,7380,8537,8537,8554,2953,1448,1697,4392
3284,3574,3694,7218,6228,6079,1549,2567,2785,4210
5827,7000,9974,9555,7587,7949,2061,1947,2268,5075
2207,6369,3410,5636,7593,7387,3014,2730,3132,4643
2370,3190,8127,9447,6311,8302,7877,1949,2579,2496
1480,3964,5339,8414,5229,8605,5742,2307,1745,2048
2054,2467,5341,9446,9158,9229,6177,4464,1351,1665
