Long,Lat,Point
-42.44492305242372,-3.319926943914778,0
-42.92973730911333,-3.3816636103353375,0
-42.93168971329178,-3.384376353891544,0
-42.93486028905127,-3.3833485638235694,0
-42.93486736725337,-3.3800006036209753,0
-42.931701201183444,-3.3789592622468687,0
-42.84415122296895,-3.009364311869917,0
-42.84610323511107,-3.0120766175347673,0
-42.84927233153532,-3.0110483821305625,0
-42.849278890134045,-3.0077005827419114,0
-42.84611387837471,-3.006659786984681,0
-42.58207327351441,-2.951866247738353,0
-42.58402429079172,-2.954578447675321,0
-42.58719284522665,-2.9535510322439644,0
-42.5872000626146,-2.950203842945803,0
-42.58403599937706,-2.9491626070236996,0
-42.89920231247132,-3.1396622036162265,0
-42.900968617062716,-3.142116334770007,0
-42.903836374610286,-3.1411860897844344,0
-42.903842409456594,-3.1381570287033216,0
-42.90097840832817,-3.137215229058474,0
-42.74546849432417,-2.705417321032024,0
-42.74779192899761,-2.7086457820716356,0
-42.75156327847755,-2.7074213209780433,0
-42.75157061411301,-2.7034360857194413,0
-42.74780383806461,-2.7021975695170815,0
-42.97384791536569,-3.5173771018608524,0
-42.976079495035286,-3.5204775437511553,0
-42.979703673164906,-3.519303034073019,0
-42.97971190378955,-3.515476696579025,0
-42.976092860194356,-3.514286427439168,0
-42.708941094612705,-2.6972126326116204,0
-42.711171445029635,-2.7003119314464934,0
-42.71479185184953,-2.6991365678506085,0
-42.71479898791241,-2.695310839504492,0
-42.71118302794902,-2.6941218043712474,0
-42.7958760236823,-2.719613492097767,0
-42.79801377737407,-2.7225837084716265,0
-42.80148354047144,-2.7214570541009433,0
-42.80149017464174,-2.717790514352832,0
-42.79802454552135,-2.7166511503026554,0
-42.208569420253795,-2.727066234125276,0
-42.21070476752191,-2.7300361774028397,0
-42.21417355020758,-2.7289117528758307,0
-42.21418198051596,-2.7252468583623273,0
-42.21071844191415,-2.7241062886723952,0
-42.46358154178653,-2.7471565421685415,0
-42.46571795084494,-2.7501266795827215,0
-42.469187291345015,-2.7490013342019743,0
-42.4691950062643,-2.7453356791128076,0
-42.46573046799202,-2.744195557007096,0
-42.90634937983412,-3.141303992053757,0
-42.90839460315457,-3.1441456191310104,0
-42.911715181777325,-3.14306846806846,0
-42.91172214577268,-3.1395611158393493,0
-42.90840590692436,-3.13847062815351,0
-42.85364823704555,-2.764741107104598,0
-42.85569325279695,-2.7675822528494285,0
-42.85901238791315,-2.7665044810926447,0
-42.859018670492866,-2.762997224856101,0
-42.855703449701,-2.7619074177913907,0
-42.868627067162805,-3.4341478096836013,0
-42.87057923859075,-3.436860634454027,0
-42.87374996165239,-3.435833194897229,0
-42.873757362823824,-3.4324853697431337,0
-42.870591249600494,-3.4314437619658706,0
-42.688619623747236,-3.1397579921288568,0
-42.69047810880258,-3.1423412981228918,0
-42.69349657062926,-3.1413628441591848,0
-42.69350356073595,-3.1381748110754284,0
-42.69048944857822,-3.13718297426497,0
-42.88950505684062,-3.1315057636349506,0
-42.89127132679742,-3.1339598870020122,0
-42.894139047955115,-3.133029659400102,0
-42.894145094954126,-3.1300006167616505,0
-42.89128113765604,-3.129058811214624,0
-42.76532541389556,-3.034698122919406,0
-42.76690537199809,-3.036893823539848,0
-42.769470826068016,-3.036061718933251,0
-42.7694763800497,-3.0333517428962713,0
-42.76691437916248,-3.032509005593934,0
-42.9036543166542,-3.07132132202733,0
-42.90579248407207,-3.074292022246505,0
-42.90926371693787,-3.073165763541839,0
-42.909270842961064,-3.069498986848309,0
-42.90580405246,-3.068359079341177,0
-42.78787516412403,-3.4578297284134187,0
-42.79001289730836,-3.460800973131816,0
-42.79348560917256,-3.4596760930355748,0
-42.793494078715256,-3.4560096240699734,0
-42.79002664438315,-3.4548685296096826,0
-42.5646743248398,-2.9529127392681405,0
-42.56671817648622,-2.955754088804091,0
-42.570037593484045,-2.9546778174268216,0
-42.570045210700684,-2.9511712825957126,0
-42.56673053500251,-2.9500804243389727,0
-41.836575997847774,-2.7884703583362453,0
-41.83861687340927,-2.7913109651997647,0
-41.84193428032978,-2.7902370260108293,0
-41.84194362801939,-2.786732667872895,0
-41.838632029932185,-2.785640831072136,0
-42.73459216342274,-2.680446476692519,0
-42.7362650097989,-2.6827709372061936,0
-42.73898029261025,-2.681889310386522,0
-42.73898555652521,-2.6790199662905954,0
-42.73627354741187,-2.6781282584188295,0
-42.739339436824764,-2.6652680007959964,0
-42.74147698478755,-2.6682381252839944,0
-42.744946470669106,-2.667111547089797,0
-42.744953139378325,-2.663445145533922,0
-42.74148780813637,-2.6623057914258297,0
-42.66239272686934,-3.104987659593599,0
-42.66452987262714,-3.1079584092627957,0
-42.66800092853436,-3.1068332081281462,0
-42.668008964745866,-3.1031670332488543,0
-42.66454291412673,-3.1020264431544704,0
-41.82977001106934,-2.863247014828139,0
-41.83190354593706,-2.8662168849359646,0
-41.83537203253009,-2.8650944105117397,0
-41.83538208810976,-2.8614307910107977,0
-41.83191985172253,-2.860289063983957,0
-42.78253733749246,-2.9267927337756925,0
-42.784675005482256,-2.929763238032832,0
-42.788145522707026,-2.928637123132707,0
-42.78815270645285,-2.92497062951879,0
-42.78468666544832,-2.9238307546831077,0
-42.1252602505116,-3.2961158089028415,0
-42.12730206860596,-3.2989575579812076,0
-42.13062212950121,-3.2978840000350482,0
