2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,amplitude,lat,long
0.4054,0.4066,0.2318,0.3926,0.4793,0.5334,0.5757,0.6064,0.7127,0.7678,0.16174213393203668,0.536,-3.5852557184744485,-42.60979330363682
0.3987,0.3691,0.3438,0.4914,0.4914,0.363,0.5447,0.6205,0.6854,0.8108,0.15520189575016294,0.46699999999999997,-2.9093562465745078,-41.89307226953558
0.6223,0.5821,0.6603,0.1437,0.6524,0.6017,0.0834,0.0743,0.4485,0.4846,0.2412365139581209,0.586,-2.8036932127768206,-42.11446151730739
0.2446,0.4246,0.1488,0.4527,0.4527,0.1778,0.2188,0.666,0.3915,0.5164,0.16687457332446493,0.5172000000000001,-2.727241376110761,-41.87676950912713
0.4786,0.4895,0.7161,0.5153,0.4574,0.6514,0.3662,0.7421,0.516,0.9327,0.1704125585486912,0.5665,-2.7078166095885488,-42.497549732218495
0.6315,0.6375,0.6733,0.749,0.749,0.7643,0.2696,0.4873,0.7114,0.5382,0.1537697445316644,0.4947,-2.7546804589059475,-42.179545382974254
0.577,0.6681,0.7011,0.2916,0.505,0.658,0.4196,0.7865,0.6626,0.8193,0.1637872929544088,0.5277000000000001,-2.7476171826625317,-42.45335040424203
0.707,0.6803,0.7597,0.1347,0.4402,0.7583,0.7215,0.4234,0.5563,0.7343,0.2043106406648682,0.625,-2.8221034701137824,-42.11284676579375
0.5749,0.6783,0.6938,0.6925,0.6925,0.6247,0.2065,0.7685,0.4499,0.6648,0.1643269721554492,0.5619999999999999,-2.846896971955481,-41.938753263731385
0.2992,0.2906,0.2936,0.3765,0.614,0.614,0.4651,0.5092,0.6008,0.7521,0.16316764010605098,0.46149999999999997,-3.4893368025157105,-42.61639647497452
0.4499,0.3537,0.479,0.3588,0.3588,0.5287,0.187,0.5043,0.1942,0.6756,0.15076831379452527,0.4886,-2.7265613443720857,-42.159196141124696
0.5324,0.5718,0.4406,0.1642,0.7145,0.7678,0.7903,0.8235,0.6766,0.7212,0.2012650516110534,0.6593,-3.613843300894677,-42.62124737750878
0.5239,0.3741,0.4789,0.4481,0.6785,0.497,0.6147,0.7758,0.7547,0.8388,0.15754622778374888,0.4647,-3.4709970664628536,-42.62960134031815
0.3781,0.38,0.4497,0.2919,0.4647,0.3925,0.3202,0.6222,0.7401,0.7021,0.1588041158856477,0.4482,-2.966552567800201,-41.89940705428696
0.5395,0.5047,0.526,0.3037,0.4939,0.6732,0.5696,0.7647,0.7472,0.812,0.15522762676505467,0.5083,-3.2338911963541714,-42.23088539412704
0.6848,0.7124,0.7379,0.1784,0.5502,0.7416,0.6486,0.3481,0.2161,0.7529,0.22541011019423637,0.5745,-2.829614057858333,-42.083336185377995
0.393,0.4072,0.3958,0.3673,0.0698,0.5617,0.6316,0.8371,0.7386,0.9023,0.2533927526807172,0.8325,-3.1481425533502985,-41.94077318045529
0.7162,0.7385,0.7477,0.5562,0.8275,0.7781,0.3224,0.5258,0.627,0.8006,0.157222786021761,0.5051,-2.808040386782647,-42.064201700493314
0.3679,0.3717,0.3354,0.1274,0.2517,0.3623,0.6081,0.7086,0.5736,0.3758,0.17394473739284746,0.5811999999999999,-2.9670280878149815,-41.97284266676539
0.6166,0.6883,0.5978,0.6923,0.6923,0.6323,0.3389,0.0968,0.5315,0.5791,0.1897792252416827,0.5955,-2.7428015407703383,-42.461840407009376
0.6084,0.7674,0.6766,0.4348,0.7456,0.6286,0.3309,0.7994,0.344,0.7981,0.18209697538521735,0.46849999999999997,-2.8058562215871192,-41.99197641298417
0.5143,0.5208,0.4658,0.0866,0.3307,0.5611,0.785,0.7042,0.4901,0.6873,0.20029846868000653,0.6984,-3.311512689030508,-42.10247140892864
0.4366,0.4761,0.5627,0.4839,0.6798,0.4863,0.2073,0.7723,0.6824,0.8164,0.18197645024685044,0.6091,-2.688909675851577,-42.743058191369464
0.3458,0.318,0.4917,0.0846,0.0805,0.2478,0.5344,0.3974,0.2376,0.5528,0.1700521697728213,0.47229999999999994,-2.783743561340957,-42.24988236172193
0.3598,0.3378,0.3365,0.5499,0.7494,0.7986,0.8229,0.8177,0.5828,0.8525,0.21524069446913507,0.516,-3.46940830746508,-42.47922410042244
0.5034,0.5162,0.4858,0.1781,0.5912,0.6816,0.5611,0.6448,0.5425,0.7446,0.15331154229215752,0.5665,-3.4100983423279585,-42.501726344290205
