Lat , Long
-45.75805879572501,-5.73753557156133
-46.364496507438595,-6.162552758842379
-46.373447307938946,-6.163545539765332
-44.63212776224019,-7.226525713294259
-44.63642014431979,-7.218924973895381
-43.382187904478975,-5.016527902786543
-43.83651732614063,-8.416419625504334
-43.7852215056618,-8.145409768220091
-43.77535367698876,-7.9600862436221105
-43.84071660331542,-8.397437329616675
-43.79593937133318,-7.955129374631562
-44.35952186534431,-9.136254957149012
-44.32405473915321,-9.073767880524947
-44.325238553204635,-9.080723449426637
-43.858571241061,-7.310282109211374
-45.9793165743203,-12.271540156783336
-45.96865557099906,-12.26657802683441
-46.01134743117254,-12.259418336645648
-45.99402301342034,-12.252407406255244
-45.95384048601105,-12.290398033459082
-45.937001231955016,-12.294220191863197
-45.95525914902935,-12.278554197873161
-45.95525277112279,-12.265626270323022
-45.93446774672539,-12.265733395015436
-45.9411070526661,-12.281444209972177
-45.934065368137546,-12.276458667567864
-45.92127614263532,-12.27156125764483
-45.928073297350025,-12.277807636932003
-45.92896896248473,-12.266885277120902
-45.94023471001979,-12.263763689690764
-45.9789509527257,-12.243555454382456
-45.914360797320704,-12.25457918210384
-45.90761606123786,-12.25584716187205
-45.89424237650682,-12.262069813439313
-45.88602976554974,-12.264115268110071
-45.86773026695291,-12.272290562530587
-45.85693915214899,-12.28016642364849
-45.858874679966696,-12.265379431460888
-45.848441667826584,-12.268558658979867
-45.867473926819365,-12.25856558573504
-45.85618154808687,-12.306806198623557
-45.86463783887587,-12.30146269155705
-45.82247822279562,-12.331235539437593
-45.811875190640514,-12.330219206652838
-45.82024195251324,-12.321547968499393
-45.80096792275689,-12.329072492717888
-45.80737714876406,-12.321053574230714
-45.79045070173922,-12.327969937407019
-45.95000223696037,-12.183959892909977
-45.79816619910991,-12.3005960400267
-45.789789274776574,-12.307597556369439
-45.73052373960065,-12.303353973984207
-45.721409605405015,-12.298105578178555
-45.736489868488015,-12.293784251828725
-45.71187693546127,-12.29233949049819
-45.727820720029825,-12.287837360398155
-45.74209417494464,-12.28481371042635
-45.61116010285297,-12.360801736329298
-45.61398559991554,-12.349183944154964
-45.4627099424032,-12.393373064997188
-45.45108668422344,-12.39066296999248
-45.44796532539395,-12.403586989938923
-45.4630801911555,-12.405638182918514
-45.28378081598514,-12.434278932631742
-45.298408750409564,-12.436592134521204
-45.28967133325816,-12.442520532320572
-45.27324407364212,-12.43288374833095
-45.27736846133793,-12.443077032197849
-45.28381574748218,-12.451963863763218
-45.24088955821206,-12.419144686198917
-45.229107210792506,-12.424146492767001
-45.218227081087214,-12.416775239236074
-45.23064246764055,-12.41165259698974
-45.2424782355484,-12.405926665004577
-45.21960318712931,-12.404572642087183
-45.231877971002035,-12.39753316075678
-45.20757965927011,-12.409614348966715
-45.209094775159464,-12.396709961195468
-45.973106843751616,-12.234750812693802
-45.96252935972274,-12.234939336807603
-45.95189209755371,-12.234571891551266
-45.94132437462915,-12.235881720224167
-45.93081884605317,-12.237768441430317
-45.920709641102434,-12.238925711509028
-45.91406470423544,-12.242577839156723
-45.908389371077874,-12.248361292510657
-45.89942031861838,-12.252239308898092
-45.892199367555335,-12.254819478495463
-45.8833609962728,-12.255396372888113
