2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
0.5301,0.51,0.3884,0.2146,0.1448,0.1619,0.1754,0.627,0.8001,0.9035,0.8363,0.6367,0.1628,0.1542,0.1444,0.1519,0.1449,0.1392,0.1736,0.2711,0.3765,0.8383,0.8018,0.2816835869589411,-45.43438827476777,-14.294357204610279
0.1772,0.1644,0.1497,0.3115,0.7827,0.8356,0.7258,0.7413,0.6996,0.6405,0.3417,0.2254,0.2104,0.176,0.2248,0.2878,0.3861,0.8326,0.7881,0.6001,0.2043,0.1108,0.187,0.26755047715540886,-45.55909098620801,-14.387403732525847
0.9228,0.6963,0.5268,0.1896,0.1575,0.1667,0.2412,0.4389,0.7629,0.7667,0.732,0.7022,0.6776,0.4886,0.4244,0.2664,0.1877,0.1425,0.1451,0.1979,0.4595,0.7494,0.8286,0.26436588386809606,-45.53707615418335,-14.776407430985303
0.1386,0.1468,0.1741,0.296,0.5979,0.7523,0.8144,0.828,0.763,0.6976,0.5787,0.3824,0.237,0.2361,0.2681,0.2236,0.1505,0.2416,0.3572,0.9373,0.9683,0.9283,0.8714,0.30308750605082796,-45.53136937129975,-14.372820611059431
0.2493,0.5686,0.5416,0.4001,0.1908,0.1493,0.3731,0.7926,0.881,0.9094,0.7453,0.2864,0.1646,0.1647,0.1846,0.1698,0.158,0.1064,0.228,0.6499,0.8052,0.6108,0.5121,0.27017726416400445,-45.438793495381276,-14.271021922345033
0.8433,0.6627,0.516,0.1604,0.1832,0.1974,0.1904,0.389,0.6119,0.7193,0.7626,0.6426,0.603,0.4695,0.3495,0.2323,0.163,0.1633,0.1692,0.24,0.2989,0.5892,0.6794,0.23159009012023213,-45.53393285425379,-14.80191048649133
0.6213,0.5379,0.4956,0.441,0.1965,0.1921,0.1977,0.3408,0.7226,0.8666,0.8058,0.5486,0.1709,0.1529,0.1588,0.1606,0.1368,0.1226,0.1285,0.3078,0.3559,0.7829,0.8621,0.26418764157407953,-45.43274012356589,-14.305210060207653
0.3252,0.5886,0.539,0.4215,0.2021,0.1581,0.297,0.7314,0.8538,0.9064,0.8087,0.4156,0.1606,0.154,0.1672,0.1608,0.1451,0.1517,0.1804,0.477,0.7427,0.9906,0.9619,0.3032192555181746,-45.42711950378802,-14.274840590225775
0.6416,0.5533,0.5375,0.4111,0.1985,0.1605,0.1645,0.2172,0.6426,0.8785,0.8758,0.7508,0.2183,0.1639,0.174,0.1704,0.1377,0.1383,0.482,0.5508,0.7556,0.5008,0.473,0.2532306168227742,-45.41998907165354,-14.254238456039687
0.1258,0.1496,0.2729,0.4538,0.784,0.9311,0.843,0.8143,0.8043,0.7309,0.5374,0.4413,0.2436,0.1204,0.1838,0.4136,0.5563,0.6352,0.6466,0.5692,0.4586,0.2789,0.1972,0.2570266770731644,-45.544286708106185,-14.364111564808953
0.1295,0.129,0.2054,0.4073,0.6508,0.8761,0.8752,0.8666,0.8641,0.7553,0.5852,0.5006,0.327,0.2731,0.1727,0.1164,0.1928,0.6868,0.6926,0.8595,0.9114,0.6813,0.2997,0.29190854414061346,-45.48192078040985,-14.279618462064285
