2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,2018-02-02,2018-02-18,2018-03-06,2018-03-22,desvio,lat,long
0.4246,0.5077,0.3345,0.5705,0.7043,0.5412,0.1323,0.7825,0.5349,0.5293,0.18203937180975135,-3.5293121779128507,-42.974092031625815
0.3007,0.2974,0.3243,0.1004,0.3743,0.4056,0.4692,0.7409,0.7196,0.361,0.19446907894744261,-3.1551421411945646,-44.33705275012628
0.4987,0.4998,0.5417,0.3307,0.1233,0.1513,0.5392,0.6543,0.1781,0.6282,0.20172766598119907,-2.6854095239602915,-44.01186682346253
0.4776,0.4491,0.3726,0.0757,0.1504,0.2933,0.5616,0.505,0.4156,0.5614,0.16652514691648093,-2.8772341617072823,-43.295488016027925
0.352,0.3626,0.3095,0.3423,0.3037,0.4804,0.6289,0.7022,0.1814,0.5977,0.16824420115481611,-2.7971414355720037,-42.77550422145893
0.4764,0.4473,0.3913,0.1585,0.1407,0.4711,0.6308,0.3209,0.5737,0.8104,0.20525232953069686,-2.8389943005042837,-43.99784049115976
0.4321,0.4725,0.4062,0.4827,0.1332,0.3925,0.4837,0.5412,0.1122,0.6125,0.16291025341170726,-2.9055598486687058,-42.743061875881466
0.1928,0.2054,0.1681,0.1649,0.3626,0.3969,0.5235,0.4741,0.6267,0.7153,0.19998033820020078,-3.1165738550866733,-44.290505537579214
0.4689,0.4512,0.3809,0.2058,0.2626,0.4213,0.6001,0.7426,0.5224,0.605,0.16177330366218579,-2.9224421526822777,-42.77688117282394
0.3734,0.4462,0.4689,0.1888,0.1804,0.1542,0.4293,0.5709,0.1675,0.5551,0.16578553783595104,-2.6242911725733347,-43.65857660408625
0.3503,0.4647,0.3627,0.1441,0.13,0.5137,0.5012,0.6379,0.215,0.6309,0.18663470113209565,-3.3311364639304464,-43.480079939897614
0.4354,0.4482,0.4533,0.1218,0.5087,0.6026,0.5393,0.6021,0.2387,0.141,0.17925545056024253,-2.8270876026398497,-44.03738946576765
0.4782,0.4958,0.3883,0.0941,0.6897,0.3021,0.293,0.7336,0.4537,0.5713,0.1922094968170581,-2.5235438597056348,-43.35397660545148
0.4003,0.4286,0.3621,0.1164,0.0647,0.4284,0.6489,0.2985,0.5818,0.7415,0.2153385128376044,-2.6793939048574438,-43.957361339570134
0.4077,0.4702,0.3954,0.1401,0.2109,0.5367,0.5433,0.5804,0.6113,0.7828,0.19008414394098677,-2.992999357435824,-43.86166398733846
0.455,0.4846,0.385,0.2116,0.1854,0.295,0.7033,0.5328,0.7655,0.5723,0.19465500107740474,-2.9274064328119778,-43.11638745129241
0.408,0.4874,0.4855,0.3245,0.1689,0.2647,0.3405,0.2244,0.5753,0.6779,0.16144370501474775,-2.851713446426956,-44.3191513472577
0.4493,0.4312,0.3499,0.2142,0.3177,0.2218,0.0544,0.2797,0.5183,0.5949,0.16073645234081504,-2.8942615080857395,-43.08636024877897
0.4466,0.4971,0.4084,0.1507,0.5722,0.2435,0.7289,0.6138,0.5409,0.5905,0.17485655835569908,-2.868016498275712,-43.299683882224855
0.4646,0.262,0.4499,0.3077,0.4679,0.2554,0.5754,0.2969,0.1997,0.7402,0.16897012260554625,-2.60255009851603,-44.27692362752903
0.3088,0.1599,0.1918,0.1913,0.233,0.5886,0.5509,0.7107,0.6305,0.1486,0.22205879326580755,-2.9689042158222567,-44.24106806987583
